run_id,scenario_id,variant_id,scheduler_name,seed,trace_id,trace_sha256,total_requests,completed_requests,rejected_requests,deadline_satisfaction_rate,useful_goodput_requests_per_second,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,actual_prediction_accuracy,estimated_energy_per_completed_request_units
core-device_slowdown-edgeweaver-seed-4,device_slowdown,edgeweaver,edgeweaver,4,device_slowdown-seed-4,b223f01dd3a25216d6201cfe240143c364f60ecfe5d5ed9005e0278d58210623,95,95,0,1.0,4.65,0.6150154999996391,0.6150155000000268,0.9789473684210527,0.6150155
core-device_slowdown-edgeweaver-seed-5,device_slowdown,edgeweaver,edgeweaver,5,device_slowdown-seed-5,3dd4023e40754b46bb374d5a1dfe6ecfc8796eea4838bb6c07f75d7be60c62e6,99,99,0,1.0,4.65,0.6232718435165804,0.6150155000000268,0.9393939393939394,0.6150155
ablation-device_slowdown-edgeweaver_no_online_update-seed-1,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,1,device_slowdown-seed-1,a97c9319f45c7b372717900e92d54aaa94460bd1034654b5c5a7a0cfe9e1721a,96,96,0,1.0,4.4,0.6150154999996665,0.6150155000000268,0.9166666666666666,0.6150155
ablation-device_slowdown-edgeweaver_no_online_update-seed-2,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,2,device_slowdown-seed-2,af4c6962ef234ceedf181ff6348f5024f43e720ccd80124c7e68eb424bf42645,105,105,0,1.0,5.2,0.6150154999996709,0.6150155000000268,0.9904761904761905,0.6150155
ablation-device_slowdown-edgeweaver_no_online_update-seed-3,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,3,device_slowdown-seed-3,e26f9cd989c78dabb37e11f5f6c446bc8859a59ab0323345dbe0d02d472bc778,94,94,0,1.0,4.65,0.6177294329947679,0.6150155000000268,0.9893617021276596,0.6150155
ablation-device_slowdown-edgeweaver_no_online_update-seed-4,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,4,device_slowdown-seed-4,b223f01dd3a25216d6201cfe240143c364f60ecfe5d5ed9005e0278d58210623,95,95,0,1.0,4.65,0.6150154999996391,0.6150155000000268,0.9789473684210527,0.6150155
ablation-device_slowdown-edgeweaver_no_online_update-seed-5,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,5,device_slowdown-seed-5,3dd4023e40754b46bb374d5a1dfe6ecfc8796eea4838bb6c07f75d7be60c62e6,99,99,0,1.0,4.65,0.6232718435165804,0.6150155000000268,0.9393939393939394,0.6150155
core-device_slowdown-fastest_device-seed-1,device_slowdown,fastest_device,fastest_device,1,device_slowdown-seed-1,a97c9319f45c7b372717900e92d54aaa94460bd1034654b5c5a7a0cfe9e1721a,96,96,0,1.0,4.4,73.89990651000001,74.08441115999813,0.9166666666666666,1.12213229
core-device_slowdown-fastest_device-seed-2,device_slowdown,fastest_device,fastest_device,2,device_slowdown-seed-2,af4c6962ef234ceedf181ff6348f5024f43e720ccd80124c7e68eb424bf42645,105,105,0,1.0,5.2,73.88760620000002,74.08441115999813,0.9904761904761905,1.07293105
core-device_slowdown-fastest_device-seed-3,device_slowdown,fastest_device,fastest_device,3,device_slowdown-seed-3,e26f9cd989c78dabb37e11f5f6c446bc8859a59ab0323345dbe0d02d472bc778,94,94,0,1.0,4.65,73.86771633702118,74.08441115999877,0.9893617021276596,0.9933715980851063
